epoch,time,loss,lr
0,0.00 mins,0.02,0.001
25,0.03 mins,0.0,0.00064
50,0.05 mins,0.0,0.00033
75,0.07 mins,0.0,0.00021
100,0.09 mins,0.0,0.00013
125,0.11 mins,0.0,0.00013
150,0.13 mins,0.0,0.00013
175,0.15 mins,0.0,0.00013
200,0.17 mins,0.0,0.00013
225,0.20 mins,0.0,0.00013
0,0.00 mins,0.02,0.001
25,0.03 mins,0.0,0.00064
50,0.05 mins,0.0,0.00033
75,0.07 mins,0.0,0.00021
100,0.09 mins,0.0,0.00013
125,0.11 mins,0.0,0.00013
150,0.13 mins,0.0,0.00013
175,0.16 mins,0.0,0.00013
200,0.18 mins,0.0,0.00013
225,0.20 mins,0.0,0.00013
0,0.00 mins,0.02,0.001
25,0.02 mins,0.0,0.00064
50,0.04 mins,0.0,0.00033
75,0.06 mins,0.0,0.00021
100,0.09 mins,0.0,0.00013
125,0.11 mins,0.0,0.00013
150,0.13 mins,0.0,0.00013
175,0.15 mins,0.0,0.00013
200,0.17 mins,0.0,0.00013
225,0.19 mins,0.0,0.00013
0,0.01 mins,0.01,0.001
25,0.03 mins,0.0,0.00064
50,0.05 mins,0.0,0.00033
75,0.07 mins,0.0,0.00021
100,0.10 mins,0.0,0.00013
125,0.12 mins,0.0,0.00013
150,0.14 mins,0.0,0.00013
175,0.16 mins,0.0,0.00013
200,0.18 mins,0.0,0.00013
225,0.20 mins,0.0,0.00013
250,0.22 mins,0.0,0.00013
275,0.24 mins,0.0,0.00013
0,0.00 mins,0.01,0.001
25,0.06 mins,0.0,0.00064
50,0.11 mins,0.0,0.00033
75,0.17 mins,0.0,0.00021
100,0.23 mins,0.0,0.00013
125,0.28 mins,0.0,0.00013
150,0.34 mins,0.0,0.00013
175,0.39 mins,0.0,0.00013
200,0.44 mins,0.0,0.00013
225,0.50 mins,0.0,0.00013
250,0.56 mins,0.0,0.00013
275,0.61 mins,0.0,0.00013
0,0.00 mins,0.02,0.001
25,0.02 mins,0.0,0.00064
50,0.04 mins,0.0,0.00033
75,0.06 mins,0.0,0.00021
100,0.08 mins,0.0,0.00013
125,0.09 mins,0.0,0.00013
150,0.11 mins,0.0,0.00013
175,0.13 mins,0.0,0.00013
200,0.15 mins,0.0,0.00013
225,0.17 mins,0.0,0.00013
250,0.19 mins,0.0,0.00013
275,0.20 mins,0.0,0.00013
0,0.00 mins,0.02,0.001
25,0.02 mins,0.0,0.00064
50,0.04 mins,0.0,0.00033
75,0.06 mins,0.0,0.00021
100,0.08 mins,0.0,0.00013
125,0.09 mins,0.0,0.00013
150,0.11 mins,0.0,0.00013
175,0.13 mins,0.0,0.00013
200,0.15 mins,0.0,0.00013
225,0.16 mins,0.0,0.00013
250,0.18 mins,0.0,0.00013
275,0.20 mins,0.0,0.00013
0,0.00 mins,0.02,0.001
25,0.02 mins,0.0,0.00064
50,0.04 mins,0.0,0.00033
75,0.06 mins,0.0,0.00021
100,0.08 mins,0.0,0.00013
125,0.09 mins,0.0,0.00013
150,0.11 mins,0.0,0.00013
175,0.13 mins,0.0,0.00013
200,0.15 mins,0.0,0.00013
225,0.17 mins,0.0,0.00013
250,0.18 mins,0.0,0.00013
275,0.20 mins,0.0,0.00013
0,0.00 mins,0.0,0.001
25,0.01 mins,0.0,0.00064
50,0.02 mins,0.0,0.00033
75,0.02 mins,0.0,0.00021
100,0.03 mins,0.0,0.00013
125,0.03 mins,0.0,0.00013
150,0.04 mins,0.0,0.00013
175,0.04 mins,0.0,0.00013
200,0.05 mins,0.0,0.00013
225,0.05 mins,0.0,0.00013
250,0.06 mins,0.0,0.00013
275,0.06 mins,0.0,0.00013
0,0.00 mins,0.00222,0.001
25,0.01 mins,0.00068,0.00064
50,0.01 mins,0.00058,0.00033
75,0.02 mins,0.00056,0.00021
100,0.03 mins,0.00054,0.00013
125,0.03 mins,0.00053,0.00013
150,0.04 mins,0.00052,0.00013
175,0.04 mins,0.0005,0.00013
200,0.05 mins,0.0005,0.00013
225,0.05 mins,0.00049,0.00013
250,0.06 mins,0.00048,0.00013
275,0.06 mins,0.00047,0.00013
0,0.00 mins,0.0022,0.001
25,0.01 mins,0.00069,0.00064
50,0.02 mins,0.00057,0.00033
75,0.02 mins,0.00055,0.00021
100,0.03 mins,0.00055,0.00013
125,0.03 mins,0.00054,0.00013
150,0.04 mins,0.00052,0.00013
175,0.04 mins,0.00052,0.00013
200,0.05 mins,0.00051,0.00013
225,0.05 mins,0.00049,0.00013
250,0.06 mins,0.00049,0.00013
275,0.07 mins,0.00048,0.00013
300,0.07 mins,0.00048,0.00013
325,0.08 mins,0.00047,0.00013
350,0.08 mins,0.00046,0.00013
375,0.09 mins,0.00046,0.00013
400,0.09 mins,0.00045,0.00013
425,0.10 mins,0.00044,0.00013
450,0.10 mins,0.00044,0.00013
475,0.11 mins,0.00043,0.00013
0,0.00 mins,0.00226,0.001
25,0.01 mins,0.00099,0.00064
50,0.01 mins,0.00081,0.00033
75,0.02 mins,0.00074,0.00021
100,0.02 mins,0.00072,0.00013
125,0.03 mins,0.0007,0.00013
150,0.03 mins,0.00069,0.00013
175,0.04 mins,0.00068,0.00013
200,0.04 mins,0.00065,0.00013
225,0.05 mins,0.00065,0.00013
250,0.05 mins,0.00064,0.00013
275,0.06 mins,0.00064,0.00013
300,0.06 mins,0.00062,0.00013
325,0.07 mins,0.00062,0.00013
350,0.07 mins,0.00061,0.00013
375,0.08 mins,0.00059,0.00013
400,0.09 mins,0.0006,0.00013
425,0.09 mins,0.00059,0.00013
450,0.10 mins,0.00057,0.00013
475,0.10 mins,0.00058,0.00013
0,0.00 mins,0.00268,0.001
25,0.01 mins,0.00172,0.00064
50,0.02 mins,0.00168,0.00033
75,0.03 mins,0.00167,0.00021
100,0.04 mins,0.00167,0.00013
125,0.05 mins,0.00166,0.00013
150,0.06 mins,0.00166,0.00013
175,0.07 mins,0.00165,0.00013
200,0.08 mins,0.00165,0.00013
225,0.08 mins,0.00165,0.00013
250,0.09 mins,0.00164,0.00013
275,0.10 mins,0.00165,0.00013
300,0.11 mins,0.00164,0.00013
325,0.12 mins,0.00164,0.00013
350,0.13 mins,0.00164,0.00013
375,0.14 mins,0.00164,0.00013
400,0.15 mins,0.00163,0.00013
425,0.15 mins,0.00163,0.00013
450,0.16 mins,0.00163,0.00013
475,0.17 mins,0.00163,0.00013
0,0.01 mins,0.00193,0.001
25,0.17 mins,0.0016,0.00064
50,0.34 mins,0.0016,0.00033
75,0.53 mins,0.0016,0.00021
100,0.71 mins,0.00159,0.00013
125,0.89 mins,0.00159,0.00013
150,1.06 mins,0.00159,0.00013
175,1.23 mins,0.00159,0.00013
200,1.40 mins,0.00159,0.00013
225,1.56 mins,0.00159,0.00013
250,1.73 mins,0.00159,0.00013
275,1.90 mins,0.00159,0.00013
300,2.06 mins,0.00159,0.00013
325,2.22 mins,0.00159,0.00013
350,2.39 mins,0.00159,0.00013
375,2.57 mins,0.00159,0.00013
400,2.74 mins,0.00159,0.00013
425,2.90 mins,0.00159,0.00013
450,3.07 mins,0.00159,0.00013
475,3.24 mins,0.00159,0.00013
0,0.01 mins,0.00201,0.001
25,0.18 mins,0.00161,0.00064
50,0.35 mins,0.0016,0.00033
75,0.52 mins,0.0016,0.00021
100,0.68 mins,0.0016,0.00013
125,0.84 mins,0.0016,0.00013
150,1.01 mins,0.00159,0.00013
175,1.17 mins,0.00159,0.00013
200,1.35 mins,0.00159,0.00013
225,1.52 mins,0.00159,0.00013
250,1.68 mins,0.00159,0.00013
275,1.85 mins,0.00159,0.00013
0,0.01 mins,0.00173,0.01
25,0.19 mins,0.00161,0.0064
50,0.37 mins,0.00161,0.00328
75,0.58 mins,0.00161,0.0021
100,0.78 mins,0.00161,0.00134
125,0.95 mins,0.00161,0.00134
150,1.11 mins,0.00161,0.00134
175,1.27 mins,0.00161,0.00134
200,1.45 mins,0.00161,0.00134
225,1.64 mins,0.00161,0.00134
250,1.83 mins,0.00161,0.00134
275,2.00 mins,0.00161,0.00134
0,0.01 mins,0.09059,0.1
25,0.19 mins,0.00162,0.064
50,0.38 mins,0.00161,0.03277
75,0.55 mins,0.00161,0.02097
100,0.72 mins,0.00161,0.01342
125,0.89 mins,0.00161,0.01342
150,1.06 mins,0.00161,0.01342
175,1.22 mins,0.00161,0.01342
200,1.39 mins,0.00161,0.01342
225,1.55 mins,0.00162,0.01342
250,1.71 mins,0.00162,0.01342
275,1.88 mins,0.00162,0.01342
0,0.01 mins,0.08496,0.1
25,0.18 mins,0.00162,0.064
